"Substance name","Description","EC No.","CAS No.","Reason for inclusion","Date of inclusion","IUCLID dataset","Remarks"
"dimethyl(phenyl)sulfanium perfluorobutanesulfonate","","452-310-4","220133-51-7","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"1-(4-butoxy-1-naphthalenyl)tetrahydrothiophenium 1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonate","","468-770-4","-","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"Triphenylsulfanium perfluorobutane sulfonate","","478-340-8","144317-44-2","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonic acid","","206-793-1","375-73-5","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"magnesium perfluorobutanesulfonate","","-","507453-86-3","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"lithium perfluorobutanesulfonate","","-","131651-65-5","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"morpholinium perfluorobutanesulfonate","","-","503155-89-3","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"Potassium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonate","","249-616-3","29420-49-3","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"Ammonium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonate","","269-513-7","68259-10-9","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"N,N,N-triethylethanaminium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate","","-","25628-08-4","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"Diisohexyl phthalate","","276-090-2","71850-09-4","Toxic for reproduction (Article 57c)","16-Jan-2020","https://echa.europa.eu/documents/10162/c9adbb8d-3989-2380-cb54-f34940de0002",""
"2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one","ACETOCURE 97; GENOCURE*PMP; IGM 4817; IRGACURE 907; SPEEDCURE 97","400-600-6","71868-10-5","Toxic for reproduction (Article 57c)","16-Jan-2020","https://echa.europa.eu/documents/10162/e31382a6-3e8a-a858-da3d-614c10f6c75d",""
"2-benzyl-2-dimethylamino-4'-morpholinobutyrophenone","CG 25-369; IRGACURE 369; TK 11-319","404-360-3","119313-12-1","Toxic for reproduction (Article 57c)","16-Jan-2020","https://echa.europa.eu/documents/10162/dfd0d651-604f-f33f-0831-3672c1cbb580",""
"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP)","","-","-","Endocrine disrupting properties (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264","In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."
"Phenol, 4-nonyl-, phosphite (3:1)","","-","3050-88-2","Endocrine disrupting properties (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264","In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."
"tris(4-nonylphenyl, branched) phosphite","","-","-","Endocrine disrupting properties (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264","In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."
"tris(nonylphenyl) phosphite","","247-759-6","26523-78-4","Endocrine disrupting properties (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264","In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."
"Phenol, p-isononyl-, phosphite (3:1)","","-","31631-13-7","Endocrine disrupting properties (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264","In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."
"Phenol, p-sec-nonyl-, phosphite","","-","106599-06-8","Endocrine disrupting properties (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264","In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."
"4-tert-butylphenol","","202-679-0","98-54-4","Endocrine disrupting properties (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/fedde563-03f7-51f0-85fd-1fceb0eaa18f",""
"2-methoxyethyl acetate","","203-772-9","110-49-6","Toxic for reproduction (Article 57c)","16-Jul-2019","https://echa.europa.eu/documents/10162/eea50979-c40b-f00f-b767-891e93941ee1",""
"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid, its salts and its acyl halides","covering any of their individual isomers and combinations thereof","-","-","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0","The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:"
"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.","","","","","","",""
"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionyl fluoride","","218-173-8","2062-98-8","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0","The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:"
"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.","","","","","","",""
"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid","","236-236-8","13252-13-6","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0","The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:"
"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.","","","","","","",""
"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoate","","-","62037-80-3","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0","The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:"
"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.","","","","","","",""
"potassium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionate","","266-578-3","67118-55-2","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0","The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:"
"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.","","","","","","",""
"Propanoic acid, 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-, (-)-","","-","75579-40-7","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0","The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:"
"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.","","","","","","",""
"Propanoic acid, 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-, (+)-","","-","75579-39-4","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jul-2019","https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0","The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:"
"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.","","","","","","",""
"Pyrene","","204-927-3","129-00-0","PBT (Article 57d)""""vPvB (Article 57e)","15-Jan-2019","https://echa.europa.eu/documents/10162/bf9b02a4-6e4b-b1bf-2c58-6d61f5998817",""
"Phenanthrene","","201-581-5","85-01-8","vPvB (Article 57e)","15-Jan-2019","https://echa.europa.eu/documents/10162/efc23200-6f59-12c6-4b18-533a80aa7b4f",""
"Fluoranthene","","205-912-4","206-44-0","PBT (Article 57d)""""vPvB (Article 57e)","15-Jan-2019","https://echa.europa.eu/documents/10162/375e39c4-c59b-bfbd-d156-a1bf2a959108",""
"Benzo[k]fluoranthene","","205-916-6","207-08-9","Carcinogenic (Article 57a)""""PBT (Article 57d)""""vPvB (Article 57e)","15-Jan-2019","https://echa.europa.eu/documents/10162/ae8cba56-9884-9e35-34c7-0369a4703600",""
"2,2-bis(4'-hydroxyphenyl)-4-methylpentane","AP-5","401-720-1","6807-17-6","Toxic for reproduction (Article 57c)","15-Jan-2019","https://echa.europa.eu/documents/10162/8ec5e70d-db99-d21c-c54b-9de01c41f435",""
"1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one","3-benzylidene camphor; 3-BC","239-139-9","15087-24-8","Endocrine disrupting properties (Article 57(f) - environment)","15-Jan-2019","https://echa.europa.eu/documents/10162/22f73d01-dfc1-15d5-a8fe-a29b460fa108",""
"Terphenyl, hydrogenated","","262-967-7","61788-32-7","vPvB (Article 57e)","27-Jun-2018","https://echa.europa.eu/documents/10162/b30abea4-5ba0-e195-f595-a617687ad1c1",""
"Octamethylcyclotetrasiloxane","D4","209-136-7","556-67-2","PBT (Article 57d)""""vPvB (Article 57e)","27-Jun-2018","https://echa.europa.eu/documents/10162/1c5dc0f3-cd5c-7b71-044a-9167e3b03d99",""
"Lead","","231-100-4","7439-92-1","Toxic for reproduction (Article 57c)","27-Jun-2018","https://echa.europa.eu/documents/10162/79eec48e-c0b6-0d58-5218-ddb32ce0d22d",""
"Ethylenediamine","EDA","203-468-6","107-15-3","Respiratory sensitising properties (Article 57(f) - human health)","27-Jun-2018","https://echa.europa.eu/documents/10162/0fa2b79d-e520-b857-6572-61c49095b5a3",""
"Dodecamethylcyclohexasiloxane","D6","208-762-8","540-97-6","PBT (Article 57d)""""vPvB (Article 57e)","27-Jun-2018","https://echa.europa.eu/documents/10162/9061869f-7e55-aaac-9ea5-761b9050a952","Dodecamethylcyclohexasiloxane (D6) meets the criteria of Article 57 (d) of Regulation (EC) 1907/2006 (REACH) as a substance which is persistent, bioaccumulative and toxic when it contains ≥ 0.1 % w/w octamethylcyclotetrasiloxane (D4) (EC No. 209-136-7). In addition to its intrinsic properties, it also meets the criteria of Article 57 (e) of Regulation (EC) 1907/2006 (REACH) as a substance which is very persistent and very bioaccumulative (vPvB) when it contains ≥ 0.1 % w/w decamethylcyclopentasiloxane (D5) (EC No. 208-764-9) or ≥ 0.1% w/w octamethylcyclotetrasiloxane (D4) (EC No. 209-136-7). "
"Disodium octaborate","","234-541-0","12008-41-2","Toxic for reproduction (Article 57c)","27-Jun-2018","https://echa.europa.eu/documents/10162/62353089-57f4-c7c7-64f9-291364883323",""
"Dicyclohexyl phthalate","DCHP","201-545-9","84-61-7","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - human health)","27-Jun-2018","https://echa.europa.eu/documents/10162/1be86650-c2d6-326e-1991-735cbf66ecbf",""
"Decamethylcyclopentasiloxane","D5","208-764-9","541-02-6","PBT (Article 57d)""""vPvB (Article 57e)","27-Jun-2018","https://echa.europa.eu/documents/10162/32855182-9c49-d41f-150a-b6a6aa012fff","Decamethylcyclopentasiloxane (D5) meets the criteria of Article 57 (d) of Regulation (EC) 1907/2006 (REACH) as a substance which is persistent, bioaccumulative and toxic when it contains ≥ 0.1 % w/w octamethylcyclotetrasiloxane (D4) (EC No: 209-136-7)."
"Benzo[ghi]perylene","","205-883-8","191-24-2","PBT (Article 57d)""""vPvB (Article 57e)","27-Jun-2018","https://echa.europa.eu/documents/10162/16752063-ed16-d532-0418-8613beeceab0",""
"Benzene-1,2,4-tricarboxylic acid 1,2 anhydride","trimellitic anhydride; TMA","209-008-0","552-30-7","Respiratory sensitising properties (Article 57(f) - human health)","27-Jun-2018","https://echa.europa.eu/documents/10162/358de08d-e71f-b578-e833-71fec1df75d2",""
"Reaction products of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and 4-heptylphenol, branched and linear (RP-HP)","with ≥0.1% w/w 4-heptylphenol, branched and linear (4-HPbl)","-","-","Endocrine disrupting properties (Article 57(f) - environment)","15-Jan-2018","https://echa.europa.eu/documents/10162/c8ea7b6a-06bc-eeaf-ae4d-3d980a6078bc",""
"Formaldehyde, reaction products with branched and linear heptylphenol, carbon disulfide and hydrazine","","300-298-5","93925-00-9","Endocrine disrupting properties (Article 57(f) - environment)","15-Jan-2018","https://echa.europa.eu/documents/10162/c8ea7b6a-06bc-eeaf-ae4d-3d980a6078bc",""
"Reaction product of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and phenol, heptyl derivs.","","-","1471311-26-8","Endocrine disrupting properties (Article 57(f) - environment)","15-Jan-2018","https://echa.europa.eu/documents/10162/c8ea7b6a-06bc-eeaf-ae4d-3d980a6078bc",""
"Chrysene","","205-923-4","218-01-9","Carcinogenic (Article 57a)""""PBT (Article 57d)""""vPvB (Article 57e)","15-Jan-2018","https://echa.europa.eu/documents/10162/2b898da9-812d-8a07-e059-e81d2c2883cb",""
"Cadmium nitrate","","233-710-6","10325-94-7","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","15-Jan-2018","https://echa.europa.eu/documents/10162/8b38c499-dad0-ee30-11ab-198b55b2e69d",""
"Cadmium hydroxide","","244-168-5","21041-95-2","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","15-Jan-2018","https://echa.europa.eu/documents/10162/d6ad39ad-bbf7-562c-2042-a823ed29cc1e",""
"Cadmium carbonate","","208-168-9","513-78-0","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","15-Jan-2018","https://echa.europa.eu/documents/10162/31f9a47b-191c-526e-0446-f10162fd312c",""
"Benz[a]anthracene","","200-280-6","56-55-3","Carcinogenic (Article 57a)""""PBT (Article 57d)""""vPvB (Article 57e)","15-Jan-2018","https://echa.europa.eu/documents/10162/7d8ac604-d716-4a97-8682-d3d5e5c4158f",""
"1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene (“Dechlorane Plus”™)","covering any of its individual anti- and syn-isomers or any combination thereof","-","-","vPvB (Article 57e)","15-Jan-2018","https://echa.europa.eu/documents/10162/78fb98fd-a8e7-31a3-f910-f2bad587d8a6",""
"(1S,2S,5R,6R,9S,10S,13R,14R)-1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.1⁶,⁹.0²,¹³.0⁵,¹⁰]octadeca-7,15-diene","","-","135821-03-3","vPvB (Article 57e)","15-Jan-2018","https://echa.europa.eu/documents/10162/78fb98fd-a8e7-31a3-f910-f2bad587d8a6",""
"1,6,7,8,9,14,15,16,17,17,18,18-dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene","","236-948-9","13560-89-9","vPvB (Article 57e)","15-Jan-2018","https://echa.europa.eu/documents/10162/78fb98fd-a8e7-31a3-f910-f2bad587d8a6",""
"(1S,2S,5S,6S,9R,10R,13R,14R)-1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.1⁶,⁹.0²,¹³.0⁵,¹⁰]octadeca-7,15-diene","","-","135821-74-8","vPvB (Article 57e)","15-Jan-2018","https://echa.europa.eu/documents/10162/78fb98fd-a8e7-31a3-f910-f2bad587d8a6",""
"rel-(1R,4S,4aS,6aR,7R,10S,10aS,12aR)-1,2,3,4,7,8,9,10,13,13,14,14-dodecachloro-1,4,4a,5,6,6a,7,10,10a,11,12,12a-dodecahydro-1,4:7,10-dimethanodibenzo[a,e]cyclooctene","","-","-","vPvB (Article 57e)","15-Jan-2018","https://echa.europa.eu/documents/10162/78fb98fd-a8e7-31a3-f910-f2bad587d8a6",""
